index,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
1019,122,1,0,0,0,107.9,88,18.34,235.8,109,20.04,228.6,119,10.29,9.5,3,2.57,2
3208,43,3,0,1,39,188.3,108,32.01,167.6,116,14.25,189.9,92,8.55,15.6,5,4.21,1
3211,78,0,0,1,28,130.5,109,22.19,173.3,99,14.73,192.2,106,8.65,10.4,3,2.81,3
1198,182,1,0,0,0,176.1,90,29.94,174.9,106,14.87,234.7,134,10.56,9.7,4,2.62,1
3642,126,1,0,0,0,193.1,114,32.83,75.5,61,6.42,186.2,73,8.38,11.1,1,3.0,3
942,91,1,0,0,0,154.4,165,26.25,168.3,121,14.31,239.9,81,10.8,11.7,4,3.16,5
2045,81,3,0,0,0,145.6,59,24.75,287.9,131,24.47,181.7,121,8.18,9.2,4,2.48,2
3657,77,1,0,0,0,208.8,117,35.5,175.4,81,14.91,171.5,105,7.72,13.4,3,3.62,0
2108,123,1,0,1,34,305.2,80,51.88,156.5,109,13.3,280.0,81,12.6,13.2,7,3.56,1
1101,88,3,0,0,0,61.9,78,10.52,262.6,114,22.32,212.5,110,9.56,8.8,2,2.38,3
525,36,0,0,0,0,177.9,129,30.24,224.6,87,19.09,306.3,102,13.78,10.8,6,2.92,2
2514,116,0,0,0,0,110.9,54,18.85,213.4,82,18.14,186.2,116,8.38,7.9,2,2.13,2
1843,160,1,0,0,0,171.2,103,29.1,243.5,121,20.7,178.2,92,8.02,13.0,3,3.51,2
1005,100,1,0,1,25,215.9,90,36.7,257.9,92,21.92,180.2,157,8.11,11.6,4,3.13,1
576,92,3,0,1,29,155.4,110,26.42,188.5,104,16.02,254.9,118,11.47,8.0,4,2.16,3
1572,133,0,1,0,0,254.7,103,43.3,252.2,80,21.44,178.1,103,8.01,8.0,3,2.16,0
608,86,3,0,1,39,261.2,122,44.4,214.2,101,18.21,154.9,101,6.97,12.7,5,3.43,2
4038,146,1,0,0,0,157.4,89,26.76,196.0,117,16.66,147.7,150,6.65,10.8,4,2.92,0
4069,65,0,0,1,19,259.0,96,44.03,332.3,106,28.25,130.1,95,5.85,7.5,7,2.03,1
2031,122,3,0,0,0,145.6,102,24.75,284.7,111,24.2,228.2,91,10.27,12.2,5,3.29,0
1167,84,1,0,1,42,214.3,112,36.43,188.2,107,16.0,333.5,117,15.01,11.3,10,3.05,0
3857,113,1,0,0,0,283.9,98,48.26,137.1,91,11.65,159.0,110,7.15,11.3,5,3.05,2
2066,120,1,0,1,40,128.1,99,21.78,247.7,78,21.05,199.7,121,8.99,15.6,3,4.21,0
1722,162,0,0,0,0,217.6,87,36.99,279.0,71,23.72,250.7,65,11.28,10.4,4,2.81,2
3843,105,3,0,0,0,193.2,139,32.84,260.3,104,22.13,226.4,133,10.19,7.8,2,2.11,1
785,117,1,0,0,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0
3424,97,0,0,0,0,238.6,85,40.56,203.3,75,17.28,180.5,127,8.12,16.2,8,4.37,0
2518,201,3,0,0,0,212.7,72,36.16,225.2,90,19.14,195.1,99,8.78,7.0,6,1.89,1
3968,48,1,0,1,37,138.3,81,23.51,187.6,74,15.95,158.0,113,7.11,11.6,1,3.13,2
4120,145,0,1,0,0,113.0,63,19.21,187.0,131,15.9,146.8,61,6.61,10.9,7,2.94,1
2339,80,0,0,0,0,51.5,90,8.76,164.0,98,13.94,169.4,80,7.62,9.5,4,2.57,3
890,190,1,0,1,26,116.7,71,19.84,145.9,88,12.4,175.1,103,7.88,9.9,3,2.67,1
1448,100,1,0,0,0,188.5,152,32.05,148.3,115,12.61,179.8,88,8.09,15.2,5,4.1,2
405,165,3,0,0,0,242.9,126,41.29,209.8,65,17.83,228.4,126,10.28,0.0,0,0.0,1
1182,140,1,1,1,27,188.9,124,32.11,160.9,102,13.68,197.7,100,8.9,11.5,5,3.11,4
1080,109,0,0,0,0,162.6,138,27.64,154.0,109,13.09,209.7,118,9.44,11.5,4,3.11,0
1483,93,0,0,1,42,166.9,101,28.37,273.2,84,23.22,171.0,106,7.69,11.5,1,3.11,1
1871,116,3,0,0,0,89.5,128,15.22,180.8,137,15.37,193.1,94,8.69,14.0,3,3.78,2
333,119,3,0,0,0,222.8,122,37.88,163.2,107,13.87,160.6,112,7.23,11.2,6,3.02,1
1965,141,1,0,0,0,151.5,104,25.76,242.2,114,20.59,304.2,109,13.69,10.8,2,2.92,1
2626,100,1,0,1,32,125.2,123,21.28,230.9,101,19.63,192.0,106,8.64,12.6,9,3.4,3
3479,94,1,0,0,0,261.3,89,44.42,152.4,139,12.95,120.2,124,5.41,10.5,2,2.84,0
3731,75,0,0,0,0,229.2,59,38.96,142.8,107,12.14,291.6,109,13.12,8.5,5,2.3,0
173,106,3,0,0,0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,3
731,149,3,0,1,43,206.7,79,35.14,174.6,122,14.84,241.5,80,10.87,10.9,3,2.94,1
3310,33,1,0,0,0,228.1,77,38.78,176.3,102,14.99,224.5,119,10.1,7.5,1,2.03,0
2393,99,3,0,0,0,128.3,78,21.81,215.3,120,18.3,143.7,140,6.47,14.3,9,3.86,2
2257,172,3,0,0,0,169.8,123,28.87,183.1,94,15.56,395.0,72,17.77,12.7,7,3.43,2
2128,168,1,0,0,0,183.2,131,31.14,179.2,73,15.23,292.8,100,13.18,9.9,5,2.67,2
1245,70,1,0,0,0,104.7,112,17.8,82.2,104,6.99,169.4,110,7.62,15.8,7,4.27,3
3907,117,1,0,0,0,189.8,122,32.27,235.6,94,20.03,270.8,120,12.19,12.7,2,3.43,1
1889,134,1,0,0,0,204.7,108,34.8,143.1,105,12.16,165.8,84,7.46,11.0,4,2.97,6
209,106,0,0,1,32,165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,4
622,120,1,0,0,0,150.6,85,25.6,119.0,128,10.12,232.9,123,10.48,6.4,2,1.73,1
1468,120,0,0,1,26,239.4,94,40.7,259.4,88,22.05,238.0,132,10.71,7.7,3,2.08,0
1767,65,1,0,1,23,224.2,106,38.11,189.6,100,16.12,222.8,75,10.03,9.8,4,2.65,0
2158,34,0,0,0,0,128.8,80,21.9,208.7,93,17.74,202.1,103,9.09,14.0,7,3.78,1
385,91,0,0,0,0,133.7,75,22.73,195.3,87,16.6,280.5,89,12.62,5.9,2,1.59,0
3602,111,1,0,0,0,129.1,92,21.95,148.9,132,12.66,264.0,103,11.88,16.8,7,4.54,2
57,138,0,0,0,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3
1710,153,1,0,1,22,167.7,104,28.51,246.8,91,20.98,203.9,117,9.18,7.5,11,2.03,1
930,118,1,0,0,0,140.4,112,23.87,187.1,60,15.9,207.9,155,9.36,7.9,1,2.13,0
2038,121,1,0,0,0,179.4,70,30.5,143.0,93,12.16,116.3,113,5.23,11.2,5,3.02,1
3629,152,0,0,1,26,214.8,82,36.52,226.7,135,19.27,206.7,97,9.3,7.6,11,2.05,1
2765,148,0,0,0,0,243.0,115,41.31,191.8,91,16.3,117.8,93,5.3,13.4,5,3.62,2
2346,161,0,0,0,0,154.7,84,26.3,177.8,125,15.11,172.9,90,7.78,5.9,2,1.59,4
646,127,0,1,0,0,176.9,110,30.07,167.9,100,14.27,182.2,138,8.2,7.7,2,2.08,1
1802,46,3,0,0,0,90.4,108,15.37,276.2,77,23.48,146.5,111,6.59,12.7,2,3.43,1
2564,135,3,0,0,0,144.1,115,24.5,249.8,68,21.23,211.4,82,9.51,13.6,3,3.67,1
2196,53,3,0,1,37,167.3,99,28.44,194.7,99,16.55,236.7,112,10.65,12.0,9,3.24,2
3638,64,1,0,0,0,131.3,105,22.32,109.4,114,9.3,246.2,125,11.08,12.7,4,3.43,4
3406,100,1,0,0,0,218.9,124,37.21,237.5,99,20.19,189.7,52,8.54,11.0,6,2.97,2
3648,176,3,0,0,0,304.2,111,51.71,306.6,64,26.06,207.9,98,9.36,9.5,2,2.57,7
164,63,0,0,0,0,83.0,64,14.11,177.0,106,15.05,245.7,89,11.06,13.0,3,3.51,0
3357,169,3,0,0,0,276.1,120,46.94,123.5,88,10.5,261.9,116,11.79,11.9,5,3.21,1
4066,34,1,0,0,0,210.4,75,35.77,205.1,108,17.43,230.5,129,10.37,12.5,2,3.38,1
2865,98,1,0,0,0,307.2,65,52.22,138.6,97,11.78,381.6,99,17.17,10.2,4,2.75,2
2923,60,1,0,1,20,118.3,113,20.11,253.8,97,21.57,172.8,78,7.78,9.4,4,2.54,1
564,75,1,1,0,0,222.4,78,37.81,327.0,111,27.8,208.0,104,9.36,8.7,9,2.35,1
1166,97,0,0,1,32,168.4,129,28.63,225.9,97,19.2,191.8,95,8.63,8.5,7,2.3,0
531,88,1,0,0,0,161.5,92,27.46,173.5,108,14.75,206.2,95,9.28,7.9,4,2.13,2
3519,77,1,0,0,0,215.5,81,36.64,170.9,100,14.53,170.3,59,7.66,10.3,3,2.78,1
1017,139,1,0,0,0,165.0,132,28.05,249.7,86,21.22,170.3,128,7.66,12.6,8,3.4,1
1475,54,1,1,0,0,190.5,108,32.39,259.7,108,22.07,141.5,111,6.37,9.7,2,2.62,2
986,111,1,0,1,36,166.2,54,28.25,238.8,109,20.3,108.8,92,4.9,11.2,2,3.02,3
305,132,1,0,0,0,83.4,110,14.18,232.2,137,19.74,146.7,114,6.6,7.6,5,2.05,1
2096,146,1,0,1,11,180.7,82,30.72,173.7,90,14.76,231.5,89,10.42,10.1,4,2.73,2
2680,148,3,0,0,0,216.2,95,36.75,185.7,105,15.78,300.0,143,13.5,10.0,5,2.7,2
131,6,3,0,0,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1
2987,79,0,0,1,30,124.8,99,21.22,207.6,142,17.65,175.0,95,7.88,4.6,3,1.24,1
2365,24,1,0,0,0,235.6,132,40.05,115.9,129,9.85,185.4,136,8.34,16.2,2,4.37,0
2026,68,3,0,1,30,122.9,93,20.89,233.5,91,19.85,199.5,144,8.98,9.6,2,2.59,2
2649,40,3,0,0,0,169.7,115,28.85,141.4,123,12.02,253.0,115,11.39,10.5,3,2.84,4
4064,55,1,0,0,0,180.1,77,30.62,235.5,98,20.02,169.4,104,7.62,11.1,2,3.0,0
84,98,3,0,1,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4
1201,29,1,1,1,37,235.0,101,39.95,183.3,79,15.58,139.8,106,6.29,5.7,7,1.54,2
3316,104,1,0,0,0,174.1,97,29.6,174.6,104,14.84,182.7,158,8.22,9.3,4,2.51,3
2344,137,3,0,0,0,155.5,81,26.44,133.1,94,11.31,253.1,77,11.39,9.1,2,2.46,1
177,93,1,0,0,0,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11,3
452,95,3,0,1,27,129.5,106,22.02,248.9,90,21.16,268.0,115,12.06,11.9,3,3.21,1
3845,54,0,0,0,0,199.8,94,33.97,308.0,112,26.18,162.6,99,7.32,10.1,4,2.73,0
3054,81,0,0,1,36,164.8,106,28.02,210.2,138,17.87,173.6,78,7.81,4.3,2,1.16,2
2114,79,1,0,1,17,236.7,95,40.24,263.5,56,22.4,259.6,107,11.68,12.0,4,3.24,1
3526,99,0,0,0,0,130.4,121,22.17,219.9,103,18.69,84.1,85,3.78,9.8,3,2.65,2
1567,86,0,0,0,0,171.8,106,29.21,301.7,44,25.64,139.4,108,6.27,9.7,5,2.62,1
4094,119,1,0,0,0,37.4,102,6.36,182.3,115,15.5,191.9,100,8.64,8.3,5,2.24,2
674,83,0,0,0,0,202.3,87,34.39,201.5,111,17.13,101.7,82,4.58,6.8,4,1.84,0
244,166,3,0,0,0,204.2,115,34.71,179.9,152,15.29,216.8,109,9.76,9.5,5,2.57,1
3592,61,1,0,1,28,239.9,110,40.78,218.9,87,18.61,166.0,46,7.47,12.1,4,3.27,1
3243,74,0,0,0,0,176.1,79,29.94,208.3,105,17.71,237.5,86,10.69,16.1,4,4.35,4
1801,81,3,0,0,0,154.5,84,26.27,216.2,91,18.38,229.8,82,10.34,13.7,3,3.7,1
2966,120,3,0,0,0,147.7,101,25.11,144.1,71,12.25,237.0,115,10.67,11.1,5,3.0,0
2513,160,1,0,0,0,234.9,136,39.93,270.8,134,23.02,219.3,101,9.87,13.9,2,3.75,1
1793,126,1,0,0,0,103.7,93,17.63,127.0,107,10.8,329.3,66,14.82,14.4,1,3.89,0
3927,178,3,0,0,0,225.4,104,38.32,110.7,90,9.41,134.1,109,6.03,15.3,5,4.13,2
1399,132,0,0,1,36,201.9,93,34.32,156.3,75,13.29,131.3,92,5.91,13.7,5,3.7,0
1116,101,1,0,0,0,248.6,102,42.26,174.9,93,14.87,207.2,86,9.32,6.1,3,1.65,3
2703,76,3,1,0,0,246.8,110,41.96,206.3,63,17.54,208.4,123,9.38,13.2,5,3.56,0
477,90,0,0,1,30,183.8,76,31.25,229.7,95,19.52,144.1,124,6.48,7.7,3,2.08,1
3791,70,1,0,0,0,325.5,128,55.34,300.3,105,25.53,199.8,93,8.99,5.7,7,1.54,1
1759,91,0,0,0,0,134.7,116,22.9,295.3,98,25.1,195.5,121,8.8,6.6,5,1.78,2
2388,74,3,0,1,27,154.1,122,26.2,195.3,150,16.6,276.7,86,12.45,13.2,2,3.56,4
2663,104,0,0,0,0,280.4,127,47.67,179.4,79,15.25,150.6,77,6.78,15.2,6,4.1,5
3124,3,3,0,0,0,125.5,100,21.34,266.2,78,22.63,270.4,119,12.17,5.9,6,1.59,3
1760,73,3,0,1,28,198.2,107,33.69,139.1,123,11.82,199.1,139,8.96,8.8,1,2.38,2
1603,131,1,0,0,0,166.5,129,28.31,210.2,107,17.87,257.2,93,11.57,9.9,5,2.67,1
2436,133,3,0,0,0,176.8,92,30.06,187.5,97,15.94,196.8,88,8.86,6.5,3,1.76,2
830,178,0,0,0,0,275.4,150,46.82,187.5,62,15.94,147.1,126,6.62,13.6,3,3.67,1
425,30,1,0,1,30,217.4,74,36.96,213.8,86,18.17,227.2,104,10.22,6.6,3,1.78,0
1127,7,0,0,1,30,221.4,114,37.64,165.8,116,14.09,247.0,105,11.12,10.8,12,2.92,1
2062,75,1,0,0,0,111.7,121,18.99,237.3,119,20.17,253.5,110,11.41,13.1,6,3.54,1
1859,41,1,0,0,0,232.1,74,39.46,327.1,88,27.8,226.5,119,10.19,10.9,2,2.94,3
3978,83,1,0,0,0,196.7,117,33.44,272.0,89,23.12,199.9,62,9.0,10.1,11,2.73,3
728,86,3,0,0,0,141.3,72,24.02,154.3,95,13.12,210.6,91,9.48,8.2,5,2.21,1
1266,96,0,0,0,0,170.5,86,28.99,277.5,88,23.59,162.5,117,7.31,12.2,6,3.29,1
2088,45,1,0,0,0,96.1,103,16.34,246.8,134,20.98,229.7,92,10.34,9.7,4,2.62,1
2095,92,1,0,0,0,181.4,98,30.84,164.5,98,13.98,171.0,110,7.69,10.9,4,2.94,2
2751,58,1,0,1,30,178.1,111,30.28,236.7,109,20.12,264.0,118,11.88,8.4,2,2.27,0
210,108,3,0,0,0,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1
1259,89,0,0,0,0,197.1,110,33.51,165.9,115,14.1,227.3,106,10.23,12.8,3,3.46,1
3866,43,0,0,0,0,212.5,88,36.13,274.1,145,23.3,194.6,52,8.76,8.6,6,2.32,0
2607,82,1,0,0,0,135.4,102,23.02,237.1,122,20.15,118.3,91,5.32,17.5,4,4.73,0
1387,173,3,0,0,0,291.8,143,49.61,214.3,134,18.22,151.2,119,6.8,9.9,2,2.67,0
381,109,1,0,0,0,184.0,120,31.28,120.4,119,10.23,153.7,86,6.92,11.0,3,2.97,0
2425,126,0,0,1,24,58.9,125,10.01,305.5,90,25.97,158.9,73,7.15,12.1,6,3.27,0
1811,52,0,0,1,31,142.1,77,24.16,193.0,97,16.41,253.4,88,11.4,11.0,4,2.97,1
1744,97,1,0,0,0,215.3,58,36.6,242.4,91,20.6,279.8,105,12.59,12.1,9,3.27,0
1491,21,1,0,0,0,244.7,81,41.6,168.0,117,14.28,281.5,87,12.67,6.6,1,1.78,1
3006,72,1,0,0,0,129.8,106,22.07,188.7,138,16.04,212.5,116,9.56,8.3,4,2.24,4
3876,90,0,0,1,32,276.6,76,47.02,138.3,90,11.76,279.6,88,12.58,6.8,3,1.84,3
1283,103,1,0,0,0,173.5,83,29.5,244.3,65,20.77,221.6,66,9.97,9.7,2,2.62,3
1854,121,1,0,0,0,168.9,128,28.71,123.9,99,10.53,266.3,105,11.98,2.9,7,0.78,2
655,107,1,0,1,22,281.1,83,47.79,143.7,130,12.21,239.4,128,10.77,11.2,9,3.02,1
3965,117,1,0,0,0,223.7,73,38.03,205.2,69,17.44,282.9,51,12.73,11.1,1,3.0,2
2433,134,3,0,0,0,296.0,93,50.32,226.4,117,19.24,246.8,98,11.11,12.3,10,3.32,0
3069,122,1,0,1,34,205.1,123,34.87,203.3,123,17.28,126.7,106,5.7,10.7,1,2.89,2
3402,174,1,0,0,0,187.4,74,31.86,144.6,142,12.29,235.7,102,10.61,10.2,1,2.75,1
3384,92,0,0,0,0,250.6,100,42.6,41.7,94,3.54,186.2,100,8.38,9.7,6,2.62,2
2143,123,0,0,1,28,124.7,105,21.2,250.4,78,21.28,216.4,128,9.74,7.8,8,2.11,1
415,109,1,1,1,26,217.2,138,36.92,145.5,111,12.37,280.7,76,12.63,9.3,3,2.51,0
344,117,0,0,0,0,239.9,84,40.78,174.8,106,14.86,209.5,93,9.43,9.8,2,2.65,0
3694,39,0,0,0,0,157.2,81,26.72,247.7,131,21.05,215.7,141,9.71,9.9,9,2.67,1
2798,83,3,0,0,0,78.1,70,13.28,239.3,115,20.34,144.4,112,6.5,12.3,4,3.32,1
2609,130,3,0,0,0,203.9,63,34.66,191.8,93,16.3,132.5,125,5.96,12.1,4,3.27,3
1427,99,1,0,0,0,115.5,75,19.64,218.1,111,18.54,254.9,98,11.47,11.5,7,3.11,7
2566,88,1,0,0,0,85.7,112,14.57,221.6,70,18.84,190.6,75,8.58,11.6,3,3.13,4
3816,60,1,1,1,45,135.6,101,23.05,94.9,73,8.07,154.0,118,6.93,9.8,3,2.65,4
295,64,0,1,0,0,236.2,77,40.15,218.6,85,18.58,194.1,97,8.73,13.2,2,3.56,2
92,120,0,0,0,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1
4047,139,3,0,0,0,196.9,58,33.47,137.1,91,11.65,216.6,101,9.75,9.8,3,2.65,1
2102,189,1,0,0,0,227.8,124,38.73,169.5,112,14.41,201.1,91,9.05,5.6,4,1.51,3
4181,155,0,0,0,0,214.2,121,36.41,199.5,68,16.96,216.8,132,9.76,11.7,10,3.16,3
3730,111,0,1,0,0,177.1,102,30.11,249.1,102,21.17,153.3,66,6.9,8.8,4,2.38,2
366,135,3,0,1,27,273.4,141,46.48,154.0,99,13.09,245.8,112,11.06,12.3,6,3.32,1
3096,19,3,0,1,34,206.4,111,35.09,229.7,118,19.52,156.7,81,7.05,11.8,10,3.19,3
1250,129,1,0,1,34,204.5,79,34.77,132.8,113,11.29,190.1,117,8.55,14.8,9,4.0,2
3163,78,0,0,0,0,89.1,124,15.15,226.6,121,19.26,249.2,88,11.21,6.9,5,1.86,0
3398,112,1,0,0,0,124.4,109,21.15,196.1,119,16.67,166.1,89,7.47,10.2,4,2.75,2
3862,48,0,0,0,0,52.0,60,8.84,132.0,79,11.22,185.8,85,8.36,12.3,2,3.32,2
2270,44,1,0,0,0,308.6,139,52.46,150.8,94,12.82,198.7,66,8.94,7.3,3,1.97,4
2386,147,0,1,0,0,183.8,113,31.25,164.7,110,14.0,111.0,87,5.0,10.1,4,2.73,1
1474,63,1,0,0,0,142.5,92,24.23,208.3,102,17.71,228.9,120,10.3,7.5,2,2.03,2
158,94,1,0,0,0,137.5,118,23.38,203.2,88,17.27,150.0,131,6.75,13.4,2,3.62,0
2869,66,1,0,0,0,239.6,120,40.73,230.3,110,19.58,153.0,82,6.89,8.6,3,2.32,1
3133,127,0,0,0,0,155.8,91,26.49,103.7,85,8.81,117.2,125,5.27,8.6,3,2.32,2
2263,145,1,0,0,0,129.4,97,22.0,185.4,101,15.76,204.7,106,9.21,1.1,2,0.3,2
1454,105,1,0,0,0,101.4,48,17.24,159.1,119,13.52,259.2,53,11.66,12.2,2,3.29,1
21,57,0,0,1,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0
3022,133,0,0,1,49,229.4,78,39.0,219.5,106,18.66,172.3,115,7.75,12.0,4,3.24,3
34,160,1,0,0,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3
3624,74,3,0,0,0,143.7,97,24.43,229.6,110,19.52,98.8,100,4.45,11.8,5,3.19,1
2033,139,1,0,1,25,138.3,96,23.51,80.6,79,6.85,163.7,83,7.37,8.3,8,2.24,0
2034,57,1,0,0,0,189.3,157,32.18,174.9,70,14.87,221.9,117,9.99,11.2,5,3.02,3
2377,114,1,0,1,25,129.0,77,21.93,290.0,110,24.65,177.1,110,7.97,11.6,5,3.13,1
3368,55,3,0,0,0,181.3,100,30.82,200.5,122,17.04,226.9,99,10.21,10.9,2,2.94,1
2673,94,1,0,0,0,220.8,111,37.54,156.2,67,13.28,187.9,89,8.46,10.5,4,2.84,2
768,125,1,0,0,0,203.4,110,34.58,128.7,97,10.94,190.5,113,8.57,11.0,4,2.97,1
998,146,0,1,0,0,160.1,63,27.22,208.4,112,17.71,177.6,98,7.99,9.2,3,2.48,2
1501,51,1,1,0,0,153.6,108,26.11,232.9,85,19.8,214.2,92,9.64,14.1,4,3.81,0
1593,224,3,0,0,0,111.4,133,18.94,175.0,66,14.88,217.2,106,9.77,5.5,6,1.49,3
1921,85,0,0,1,33,207.9,95,35.34,233.5,88,19.85,221.3,92,9.96,13.5,3,3.65,1
1286,42,1,0,0,0,92.2,108,15.67,211.2,120,17.95,129.1,73,5.81,13.1,6,3.54,1
3063,36,1,0,0,0,140.4,117,23.87,204.5,121,17.38,251.3,79,11.31,8.7,4,2.35,2
2755,77,0,1,1,44,103.2,117,17.54,236.3,86,20.09,203.5,101,9.16,11.9,2,3.21,0
3047,156,1,0,0,0,162.6,113,27.64,260.2,90,22.12,214.7,93,9.66,10.9,2,2.94,0
250,158,1,0,0,0,158.0,106,26.86,292.5,114,24.86,241.1,89,10.85,9.1,4,2.46,1
3160,126,3,0,1,42,247.8,96,42.13,159.1,98,13.52,201.8,73,9.08,10.6,3,2.86,2
3980,130,1,0,0,0,204.5,88,34.77,178.4,85,15.16,229.6,78,10.33,12.6,8,3.4,0
590,83,1,1,1,32,94.7,111,16.1,154.4,98,13.12,200.4,109,9.02,10.6,6,2.86,2
1814,100,1,0,0,0,160.3,138,27.25,221.3,92,18.81,150.4,120,6.77,11.2,2,3.02,0
3220,77,1,0,0,0,205.3,69,34.9,171.0,84,14.54,242.4,96,10.91,10.1,2,2.73,3
501,129,1,0,0,0,139.5,119,23.72,289.3,105,24.59,129.4,97,5.82,13.1,8,3.54,0
1986,139,1,0,0,0,181.6,119,30.87,335.7,118,28.53,149.8,64,6.74,8.3,6,2.24,4
470,51,3,0,0,0,181.5,108,30.86,196.9,87,16.74,187.2,119,8.42,10.3,2,2.78,1
2823,78,0,0,0,0,193.4,99,32.88,116.9,88,9.94,243.3,109,10.95,9.3,4,2.51,2
1973,153,0,0,0,0,154.6,56,26.28,263.0,84,22.36,367.7,89,16.55,15.5,2,4.19,1
649,135,3,1,1,24,127.7,54,21.71,215.0,105,18.28,234.3,84,10.54,5.8,4,1.57,2
2908,43,0,1,0,0,160.5,92,27.29,235.8,121,20.04,111.8,95,5.03,13.8,5,3.73,1
3959,34,3,0,1,26,193.4,91,32.88,198.3,94,16.86,257.2,94,11.57,9.5,5,2.57,2
1789,123,0,0,0,0,236.2,135,40.15,273.9,88,23.28,227.0,77,10.22,10.1,6,2.73,2
303,112,1,0,0,0,193.3,96,32.86,264.1,123,22.45,128.6,115,5.79,9.1,3,2.46,4
3119,90,0,0,0,0,140.8,109,23.94,303.0,114,25.76,267.4,112,12.03,14.1,1,3.81,0
2597,148,1,0,1,26,158.7,91,26.98,160.5,127,13.64,218.3,88,9.82,9.9,3,2.67,1
3440,184,1,0,0,0,237.6,86,40.39,157.0,105,13.35,163.6,103,7.36,14.2,2,3.83,2
1645,125,3,0,0,0,168.6,99,28.66,175.6,107,14.93,243.3,92,10.95,10.9,7,2.94,0
1473,181,1,1,0,0,161.3,83,27.42,124.4,83,10.57,262.0,98,11.79,14.1,3,3.81,0
3036,44,1,0,0,0,225.6,118,38.35,135.4,122,11.51,190.1,96,8.55,12.1,5,3.27,1
